#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         552     2.19636     1.92737   0.0371749
         553     2.19051     1.92784   0.0371107
         554     2.17342     1.92829   0.0370464
         555     2.15283     1.92869   0.0369818
         556     2.12622     1.92905    0.036917
         557     2.10353     1.92936   0.0368521
         558     2.08225     1.92963   0.0367871
         559     2.06733     1.92988   0.0367221
         560     2.05185      1.9301   0.0366571
         561     2.03412     1.93028   0.0365923
         562      2.0108     1.93043   0.0365274
         563     1.98331     1.93052   0.0364627
         564     1.96036     1.93057   0.0363981
         565     1.93937     1.93059   0.0363337
         566     1.92185     1.93057   0.0362695
         567     1.91298     1.93054   0.0362055
         568     1.91631     1.93052   0.0361418
         569     1.92976     1.93052   0.0360783
         570     1.95289     1.93055    0.036015
         571     1.97946     1.93064    0.035952
         572     2.00384     1.93077   0.0358894
         573     2.02537     1.93093   0.0358271
         574     2.04562     1.93113   0.0357653
         575     2.07873     1.93139    0.035704
         576     2.12795     1.93173   0.0356436
         577     2.19023     1.93218   0.0355847
         578     2.26109     1.93275   0.0355277
         579     2.32942     1.93343   0.0354729
         580      2.3875     1.93422   0.0354204
         581     2.43411     1.93508   0.0353699
         582     2.47162       1.936   0.0353211
         583     2.49339     1.93695   0.0352735
         584      2.4998     1.93792   0.0352262
         585     2.49089     1.93886   0.0351787
         586     2.47195     1.93977   0.0351304
         587     2.45246     1.94065   0.0350814
         588     2.43606     1.94149   0.0350319
         589     2.42923     1.94232   0.0349822
         590     2.43557     1.94315   0.0349329
         591     2.45159     1.94401   0.0348844
         592     2.47511     1.94491    0.034837
         593     2.50834     1.94586   0.0347912
         594     2.54186     1.94686   0.0347471
         595     2.57041     1.94791   0.0347045
         596     2.58895     1.94899   0.0346629
         597     2.58482     1.95005   0.0346212
         598     2.55029     1.95106   0.0345779
         599     2.48432     1.95195   0.0345316
         600     2.39411     1.95268   0.0344819
         601     2.29653     1.95326   0.0344293
         602     2.20738     1.95368   0.0343747
         603     2.13716     1.95398    0.034319
         604     2.09792     1.95422    0.034263
         605     2.08592     1.95444   0.0342071
         606      2.0982     1.95468   0.0341515
         607      2.1332     1.95497   0.0340965
         608     2.18255     1.95534   0.0340424
         609     2.23922     1.95581   0.0339897
         610     2.29757     1.95637   0.0339386
         611     2.35622     1.95702   0.0338894
         612      2.4106     1.95777   0.0338421
         613     2.45833     1.95858   0.0337968
         614     2.49766     1.95946   0.0337531
         615     2.52738     1.96038   0.0337109
         616     2.53997     1.96132   0.0336693
         617     2.52852     1.96224   0.0336272
         618     2.48562     1.96309   0.0335835
         619     2.40342      1.9638   0.0335368
         620      2.2864     1.96432   0.0334867
         621     2.14108     1.96461    0.033434
         622     1.98859     1.96465   0.0333803
         623     1.84723     1.96446   0.0333272
         624     1.73273     1.96409   0.0332759
         625     1.64665     1.96358   0.0332265
         626     1.59206     1.96298   0.0331787
         627     1.55539     1.96233   0.0331322
         628     1.52932     1.96164   0.0330866
         629     1.51167     1.96093   0.0330417
         630     1.50453      1.9602   0.0329972
         631     1.51063     1.95949   0.0329526
         632     1.53413     1.95882   0.0329074
         633     1.57747     1.95822   0.0328609
         634     1.64078     1.95772   0.0328129
         635     1.71017     1.95733   0.0327635
         636     1.77023     1.95703   0.0327133
         637     1.80868      1.9568   0.0326628
         638     1.81503     1.95658   0.0326124
         639     1.79724     1.95633   0.0325623
         640     1.76788     1.95603   0.0325127
         641     1.74066      1.9557   0.0324637
         642     1.72584     1.95534   0.0324151
         643     1.71945     1.95497   0.0323668
         644     1.72042     1.95461   0.0323186
         645     1.72251     1.95425   0.0322705
         646     1.72384     1.95389   0.0322225
         647     1.72983     1.95355   0.0321746
         648     1.75666     1.95324   0.0321264
         649     1.80691     1.95302   0.0320776
         650     1.88733     1.95291   0.0320285
         651     1.99647     1.95298   0.0319793
         652     2.12467     1.95325   0.0319314
         653     2.25989     1.95371   0.0318859
         654     2.38188     1.95437   0.0318439
         655     2.47971     1.95517   0.0318054
         656     2.55945     1.95609   0.0317702
         657     2.62673     1.95711   0.0317383
         658     2.68965     1.95823   0.0317095
         659     2.74069     1.95941   0.0316836
         660     2.76993     1.96064   0.0316594
         661     2.76749     1.96186   0.0316351
         662     2.73201     1.96303   0.0316086
         663     2.67076     1.96409    0.031579
         664     2.59225     1.96504   0.0315456
         665     2.50508     1.96585   0.0315086
         666     2.41718     1.96653   0.0314686
         667     2.33936     1.96709   0.0314264
         668     2.27752     1.96755   0.0313828
         669     2.23876     1.96796   0.0313385
         670     2.22265     1.96834    0.031294
         671     2.22794     1.96873   0.0312498
         672     2.24974     1.96914   0.0312061
         673     2.28089     1.96961   0.0311631
         674     2.31705     1.97012   0.0311212
         675     2.35175     1.97069   0.0310802
         676     2.37987     1.97129   0.0310401
         677     2.39218     1.97191   0.0310005
         678     2.39236     1.97253    0.030961
         679     2.38165     1.97314   0.0309212
         680     2.36836     1.97372   0.0308812
         681     2.36031     1.97429   0.0308411
         682     2.36412     1.97486   0.0308012
         683     2.38233     1.97545   0.0307618
         684     2.40886     1.97609   0.0307234
         685     2.43531     1.97676   0.0306858
         686     2.44711     1.97744   0.0306488
         687      2.4312      1.9781   0.0306113
         688     2.38552      1.9787   0.0305725
         689     2.31573     1.97919   0.0305321
         690     2.24018     1.97956   0.0304901
         691      2.1743     1.97985   0.0304473
         692     2.12601     1.98006   0.0304041
         693     2.10066     1.98023   0.0303607
         694     2.09244     1.98039   0.0303174
         695     2.09856     1.98056   0.0302742
         696     2.11558     1.98076   0.0302313
         697     2.13718     1.98098   0.0301888
         698     2.16705     1.98125   0.0301467
         699     2.20933     1.98157   0.0301054
         700      2.2664     1.98198   0.0300651
         701     2.33305     1.98248   0.0300264
         702     2.40258     1.98308   0.0299896
         703     2.46352     1.98376   0.0299547
         704     2.50831     1.98451   0.0299214
         705     2.53503     1.98529   0.0298892
         706     2.54499     1.98608   0.0298573
         707     2.53624     1.98686   0.0298253
         708     2.51854     1.98761   0.0297926
         709     2.49202     1.98832   0.0297591
         710     2.46391     1.98899   0.0297247
         711     2.43484     1.98962   0.0296895
         712     2.41474     1.99022   0.0296538
         713     2.40005     1.99079   0.0296178
         714     2.39255     1.99135   0.0295816
         715     2.38848     1.99191   0.0295455
         716     2.38456     1.99246   0.0295093
         717     2.37591     1.99299    0.029473
         718     2.35626      1.9935   0.0294363
         719     2.32339     1.99396   0.0293989
         720       2.275     1.99435   0.0293607
         721      2.2191     1.99466   0.0293216
         722      2.1621     1.99489   0.0292819
         723     2.11204     1.99505   0.0292419
         724     2.07243     1.99516   0.0292017
