#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         472     1.57667     1.68264  0.00937572
         473     1.56769      1.6824  0.00935905
         474     1.55441     1.68213   0.0093432
         475     1.54067     1.68183  0.00932827
         476     1.53155     1.68152  0.00931402
         477     1.53261      1.6812  0.00929972
         478     1.54793     1.68092  0.00928444
         479     1.57778     1.68071  0.00926756
         480     1.61765     1.68058  0.00924918
         481     1.66004     1.68053  0.00923005
         482      1.6975     1.68057  0.00921097
         483     1.72477     1.68066  0.00919235
         484     1.73948     1.68078  0.00917416
         485     1.74174     1.68091  0.00915611
         486     1.73353     1.68102  0.00913791
         487     1.71794     1.68109  0.00911946
         488     1.69834     1.68113  0.00910084
         489     1.67782     1.68112  0.00908223
         490     1.65903     1.68108  0.00906381
         491     1.64423       1.681  0.00904566
         492     1.63508     1.68091  0.00902776
         493     1.63214     1.68081  0.00900999
         494     1.63427     1.68071  0.00899224
         495     1.63876     1.68063  0.00897447
         496     1.64257     1.68055  0.00895671
         497     1.64374     1.68048  0.00893899
         498     1.64216      1.6804  0.00892137
         499       1.639     1.68032  0.00890388
         500     1.63548     1.68023  0.00888653
         501     1.63179     1.68013  0.00886931
         502     1.62693     1.68003  0.00885228
         503     1.61957     1.67991   0.0088355
         504     1.60916     1.67977  0.00881908
         505     1.59646      1.6796  0.00880316
         506     1.58321     1.67941  0.00878782
         507     1.57123      1.6792  0.00877308
         508     1.56183     1.67897  0.00875885
         509     1.55579     1.67872  0.00874499
         510     1.55344     1.67848  0.00873129
         511     1.55434     1.67824  0.00871758
         512     1.55699       1.678  0.00870377
         513     1.55925     1.67777  0.00868988
         514     1.55928     1.67754  0.00867603
         515     1.55626      1.6773  0.00866238
         516     1.55053     1.67706  0.00864908
         517      1.5435      1.6768   0.0086362
         518     1.53742     1.67653  0.00862372
         519     1.53497     1.67626  0.00861142
         520     1.53862     1.67599  0.00859892
         521     1.55008     1.67575  0.00858582
         522     1.56993     1.67555  0.00857176
         523     1.59718      1.6754  0.00855668
         524     1.62901     1.67531  0.00854081
         525     1.66104     1.67528  0.00852458
         526     1.68843     1.67531  0.00850841
         527     1.70737     1.67537  0.00849249
         528      1.7158     1.67544  0.00847675
         529     1.71335     1.67552  0.00846103
         530     1.70097     1.67556   0.0084452
         531     1.68058     1.67557   0.0084293
         532     1.65501     1.67553  0.00841354
         533     1.62779     1.67544  0.00839823
         534     1.60283     1.67531  0.00838361
         535     1.58375     1.67514  0.00836969
         536     1.57346     1.67495  0.00835622
         537     1.57385     1.67476  0.00834278
         538     1.58517     1.67459  0.00832893
         539     1.60561     1.67446  0.00831446
         540     1.63157     1.67439  0.00829945
         541     1.65854     1.67436  0.00828416
         542     1.68221     1.67437  0.00826889
         543     1.69915     1.67442  0.00825378
         544     1.70734     1.67448  0.00823883
         545     1.70659     1.67454  0.00822393
         546     1.69873     1.67458  0.00820898
         547     1.68709      1.6746  0.00819401
         548     1.67526      1.6746  0.00817906
         549     1.66568     1.67459  0.00816417
         550     1.65913     1.67456  0.00814938
         551     1.65516     1.67452  0.00813466
         552     1.65315     1.67449  0.00812002
         553     1.65295     1.67445  0.00810543
         554     1.65487     1.67441  0.00809088
         555     1.65912     1.67438  0.00807634
         556     1.66525     1.67437  0.00806184
         557      1.6722     1.67436  0.00804736
         558      1.6786     1.67437  0.00803294
         559     1.68346     1.67439  0.00801859
         560     1.68677     1.67441   0.0080043
         561     1.68964     1.67444  0.00799008
         562     1.69356     1.67447  0.00797594
         563     1.69934     1.67452  0.00796189
         564      1.7066     1.67457  0.00794798
         565     1.71428     1.67464  0.00793422
         566     1.72138     1.67472  0.00792063
         567     1.72712     1.67482   0.0079072
         568     1.73075     1.67492  0.00789389
         569      1.7315     1.67502  0.00788065
         570     1.72895     1.67511  0.00786739
         571     1.72354     1.67519  0.00785407
         572     1.71679     1.67527  0.00784067
         573     1.71052     1.67533  0.00782723
         574     1.70548     1.67538  0.00781377
         575     1.70039     1.67542   0.0078003
         576     1.69254     1.67545  0.00778682
         577     1.67987     1.67546  0.00777333
         578     1.66255     1.67544  0.00775991
         579     1.64288     1.67538  0.00774671
         580     1.62379     1.67529  0.00773387
         581     1.60751     1.67518  0.00772143
         582     1.59501     1.67504   0.0077094
         583     1.58652     1.67489  0.00769767
         584     1.58235     1.67473  0.00768612
         585     1.58304     1.67457  0.00767458
         586     1.58861     1.67443  0.00766288
         587     1.59781      1.6743  0.00765094
         588      1.6083     1.67418  0.00763875
         589     1.61762     1.67409  0.00762639
         590     1.62398       1.674  0.00761393
         591      1.6266     1.67392  0.00760147
         592     1.62551     1.67384  0.00758907
         593     1.62117     1.67375  0.00757679
         594     1.61429     1.67365   0.0075647
         595     1.60587     1.67354  0.00755284
         596     1.59747     1.67341  0.00754125
         597      1.5915     1.67327  0.00752986
         598      1.5909     1.67314  0.00751853
         599     1.59817     1.67301  0.00750702
         600     1.61412     1.67291  0.00749515
         601       1.637     1.67285  0.00748292
         602      1.6628     1.67284  0.00747051
         603     1.68663     1.67286  0.00745815
         604     1.70434     1.67291  0.00744599
         605     1.71364     1.67298  0.00743399
         606     1.71406     1.67305  0.00742203
         607     1.70651      1.6731     0.00741
         608     1.69262     1.67313  0.00739789
         609     1.67424     1.67313  0.00738574
         610     1.65306      1.6731   0.0073737
         611     1.63054     1.67303  0.00736197
         612     1.60784     1.67293  0.00735071
         613     1.58583     1.67278  0.00734009
         614     1.56519     1.67261  0.00733023
         615     1.54644      1.6724  0.00732118
         616     1.53036     1.67217  0.00731292
         617     1.51833     1.67192  0.00730532
         618     1.51267     1.67167  0.00729804
         619     1.51611     1.67141  0.00729058
         620     1.53074     1.67119  0.00728235
         621     1.55673       1.671  0.00727295
         622     1.59144     1.67088  0.00726238
         623     1.62979     1.67081  0.00725103
         624     1.66596      1.6708  0.00723941
         625     1.69552     1.67084  0.00722794
         626     1.71674     1.67091  0.00721676
         627     1.73042     1.67101  0.00720588
         628     1.73872     1.67112  0.00719521
         629     1.74384     1.67123   0.0071847
         630     1.74704     1.67135   0.0071743
         631     1.74828     1.67147  0.00716397
         632     1.74651     1.67159  0.00715362
         633     1.74015      1.6717  0.00714313
         634     1.72809     1.67179  0.00713242
         635     1.71077     1.67185  0.00712145
         636     1.69092     1.67188  0.00711032
         637     1.67308     1.67188  0.00709916
         638     1.66187     1.67187  0.00708805
         639     1.65964     1.67185  0.00707698
         640     1.66531     1.67184  0.00706593
         641     1.67524     1.67184  0.00705491
         642     1.68523     1.67187  0.00704395
         643     1.69249      1.6719  0.00703307
         644     1.69652     1.67194  0.00702225
         645     1.69882     1.67198  0.00701149
         646     1.70123     1.67202  0.00700078
         647     1.70419     1.67207  0.00699014
         648     1.70602     1.67212  0.00697955
         649     1.70373     1.67217  0.00696896
         650     1.69446     1.67221  0.00695832
         651     1.67652     1.67221  0.00694764
         652     1.65006     1.67218  0.00693707
         653     1.61743      1.6721  0.00692695
         654     1.58305     1.67196   0.0069177
         655     1.55197     1.67178  0.00690956
         656     1.52718     1.67156  0.00690254
         657      1.5081     1.67131  0.00689652
         658     1.49197     1.67104  0.00689142
         659      1.4771     1.67074  0.00688724
         660      1.4647     1.67043  0.00688388
         661     1.45803     1.67011  0.00688096
         662     1.45983     1.66979  0.00687789
         663      1.4706     1.66949  0.00687408
         664     1.48886     1.66922  0.00686911
         665     1.51248     1.66898  0.00686282
         666      1.5391     1.66879  0.00685529
         667     1.56594     1.66863  0.00684674
         668     1.59015     1.66852   0.0068375
         669     1.60936     1.66843  0.00682785
         670     1.62214     1.66836  0.00681801
         671     1.62813      1.6683  0.00680811
         672     1.62785     1.66824  0.00679825
         673     1.62251     1.66817  0.00678849
         674     1.61381     1.66809  0.00677889
         675      1.6037     1.66799  0.00676952
         676     1.59422     1.66788  0.00676039
         677      1.5873     1.66777  0.00675145
         678     1.58434     1.66764  0.00674261
         679     1.58571     1.66752  0.00673376
         680     1.59041     1.66741  0.00672481
         681     1.59629      1.6673  0.00671575
         682     1.60074     1.66721  0.00670661
         683      1.6016     1.66711  0.00669748
         684     1.59801     1.66701  0.00668845
         685     1.59092      1.6669  0.00667961
         686     1.58325     1.66678  0.00667098
         687     1.57915     1.66665  0.00666249
         688     1.58252     1.66653  0.00665393
         689     1.59502     1.66642  0.00664508
         690     1.61486     1.66635  0.00663587
         691      1.6376     1.66631   0.0066264
         692     1.65833     1.66629  0.00661683
         693     1.67371     1.66631  0.00660729
         694     1.68271     1.66633  0.00659782
         695     1.68612     1.66636  0.00658838
         696     1.68559     1.66638  0.00657898
         697     1.68252     1.66641  0.00656958
         698     1.67734     1.66642  0.00656018
         699      1.6694     1.66643   0.0065508
         700     1.65765     1.66642  0.00654145
         701     1.64165     1.66638  0.00653222
         702     1.62226     1.66632  0.00652322
         703     1.60166     1.66623  0.00651459
         704      1.5827     1.66611  0.00650641
         705     1.56788     1.66597  0.00649867
         706      1.5585     1.66582  0.00649125
         707     1.55464     1.66566  0.00648397
         708     1.55545      1.6655  0.00647669
         709     1.55973     1.66535  0.00646927
         710     1.56625     1.66521  0.00646166
         711     1.57374     1.66508  0.00645385
         712     1.58091     1.66497  0.00644587
         713     1.58663     1.66486  0.00643777
         714     1.59019     1.66475   0.0064296
         715     1.59152     1.66465  0.00642142
         716     1.59122     1.66455  0.00641328
         717      1.5904     1.66444  0.00640516
         718     1.59053     1.66434  0.00639707
         719     1.59318     1.66424  0.00638894
         720     1.59955     1.66415   0.0063807
         721      1.6097     1.66408  0.00637229
         722     1.62221     1.66402  0.00636373
         723     1.63465     1.66398  0.00635506
         724     1.64461     1.66395  0.00634634
         725     1.65074     1.66393  0.00633761
         726     1.65309     1.66392   0.0063289
         727     1.65262      1.6639  0.00632021
         728     1.65021     1.66388  0.00631156
         729     1.64607     1.66386  0.00630295
         730     1.63979     1.66383   0.0062944
