#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         391    0.801986    0.799741  0.00447759
         392    0.798534    0.799738  0.00446617
         393     0.80026    0.799739   0.0044548
         394    0.810606    0.799767  0.00444358
         395    0.825535    0.799832  0.00443281
         396    0.839502    0.799932  0.00442275
         397    0.848914    0.800056  0.00441333
         398    0.851099    0.800184  0.00440411
         399    0.844493    0.800295  0.00439447
         400    0.830188     0.80037  0.00438412
         401    0.811906    0.800398  0.00437328
         402      0.7944    0.800384  0.00436242
         403    0.782143    0.800338  0.00435183
         404    0.779125    0.800286  0.00434138
         405    0.788483    0.800257  0.00433076
         406    0.810242    0.800281  0.00432016
         407    0.839205    0.800377   0.0043106
         408    0.866789     0.80054  0.00430311
         409    0.884866    0.800746  0.00429753
         410    0.887632    0.800958  0.00429227
         411    0.872196    0.801131  0.00428532
         412    0.840016    0.801225  0.00427596
         413     0.79749    0.801216  0.00426562
         414    0.753399    0.801101  0.00425688
         415    0.714947    0.800893  0.00425168
         416    0.686588    0.800619  0.00425033
         417    0.671752    0.800309  0.00425135
         418    0.673047    0.800005  0.00425207
         419    0.688941     0.79974  0.00425018
         420    0.711459     0.79953  0.00424525
         421    0.731231    0.799368  0.00423827
         422    0.745364     0.79924  0.00423015
         423    0.758007    0.799142  0.00422128
         424     0.77336    0.799081  0.00421176
         425    0.789938     0.79906   0.0042019
         426    0.802172    0.799067  0.00419205
         427     0.80619    0.799084  0.00418226
         428    0.802959    0.799093   0.0041725
         429    0.796159    0.799086  0.00416278
         430    0.788272    0.799061  0.00415318
         431     0.78046    0.799018  0.00414376
         432    0.775004    0.798962  0.00413454
         433    0.774739    0.798906  0.00412537
         434    0.780553    0.798864  0.00411609
         435    0.791841    0.798848  0.00410665
         436    0.808961    0.798871   0.0040973
         437     0.83289    0.798949  0.00408866
         438    0.862063    0.799093  0.00408187
         439    0.890907    0.799302  0.00407792
         440    0.912268    0.799559  0.00407673
         441    0.920331    0.799833  0.00407667
         442    0.910985    0.800084   0.0040752
         443    0.882088    0.800269   0.0040702
         444    0.837286    0.800353  0.00406189
         445    0.790666    0.800331  0.00405282
         446     0.76219    0.800245  0.00404464
         447    0.762229     0.80016  0.00403648
         448     0.78408    0.800124  0.00402763
         449    0.811459     0.80015  0.00401874
         450    0.829138    0.800214  0.00401033
         451    0.830027     0.80028  0.00400198
         452    0.816104    0.800315  0.00399328
         453    0.794241    0.800302  0.00398448
         454    0.771336    0.800238  0.00397622
         455    0.752377    0.800133  0.00396887
         456     0.74159    0.800004  0.00396224
         457    0.742451    0.799878  0.00395557
         458     0.75408    0.799778   0.0039482
         459    0.769846    0.799713  0.00394014
         460    0.782116    0.799675  0.00393176
         461    0.787206    0.799648  0.00392332
         462    0.786432    0.799619  0.00391493
         463    0.784089    0.799586  0.00390662
         464     0.78345    0.799551  0.00389836
         465    0.786116    0.799522  0.00389008
         466    0.794304    0.799511  0.00388175
         467    0.808122    0.799529  0.00387348
         468    0.822894    0.799579  0.00386553
         469    0.833046    0.799651  0.00385794
         470    0.836847     0.79973  0.00385055
         471    0.836592    0.799808  0.00384317
         472    0.834957    0.799882  0.00383575
         473    0.831638     0.79995  0.00382822
         474    0.824003         0.8  0.00382048
         475    0.810181    0.800022   0.0038125
         476    0.790386    0.800002  0.00380454
         477    0.766231    0.799931  0.00379723
         478    0.740735    0.799807   0.0037913
         479    0.719303    0.799639  0.00378711
         480    0.709091     0.79945  0.00378392
         481    0.715372    0.799275  0.00378008
         482     0.73704    0.799146  0.00377445
         483    0.767534    0.799081   0.0037672
         484    0.800748    0.799084  0.00375942
