#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         507     1.20511     1.19869  0.00542162
         508     1.20914     1.19871  0.00541098
         509     1.22029     1.19876  0.00540052
         510     1.23497     1.19883   0.0053904
         511     1.24911     1.19893  0.00538075
         512     1.25581     1.19904  0.00537138
         513     1.24864     1.19913  0.00536178
         514     1.22709     1.19919  0.00535163
         515      1.1987     1.19919  0.00534124
         516       1.176     1.19914  0.00533107
         517     1.17005     1.19909  0.00532106
         518     1.18288     1.19905  0.00531088
         519      1.2057     1.19907  0.00530066
         520     1.22447     1.19912  0.00529069
         521     1.22799     1.19917  0.00528083
         522     1.21369      1.1992  0.00527079
         523     1.18813     1.19918  0.00526075
         524     1.16363     1.19911  0.00525115
         525     1.15396     1.19902  0.00524185
         526     1.16814     1.19897  0.00523221
         527      1.2039     1.19898  0.00522229
         528     1.24716     1.19907   0.0052132
         529     1.27915     1.19922  0.00520554
         530     1.28629     1.19938  0.00519831
         531     1.26694     1.19951  0.00519008
         532     1.23105     1.19957  0.00518066
         533     1.19344     1.19956  0.00517096
         534     1.16504     1.19949  0.00516168
         535     1.14821      1.1994  0.00515292
         536     1.13985     1.19929   0.0051445
         537     1.13881     1.19917  0.00513615
         538     1.14793     1.19908  0.00512749
         539     1.16747     1.19902  0.00511831
         540     1.19062       1.199  0.00510886
         541     1.21012     1.19902  0.00509946
         542     1.22479     1.19907  0.00509027
         543     1.23626     1.19914  0.00508136
         544      1.2434     1.19922  0.00507267
         545     1.24429      1.1993  0.00506403
         546     1.24082     1.19938  0.00505533
         547     1.23674     1.19945  0.00504655
         548     1.23288     1.19951  0.00503771
         549     1.22815     1.19956   0.0050288
         550     1.22165      1.1996  0.00501982
         551     1.20949     1.19962  0.00501074
         552     1.18449     1.19959  0.00500174
         553     1.14346     1.19949  0.00499372
         554     1.09298      1.1993  0.00498841
         555     1.04833     1.19903  0.00498683
         556     1.02682     1.19872  0.00498747
         557     1.03798     1.19843  0.00498686
