#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         554     10.4432     9.67005   0.0227505
         555     10.5274     9.67159   0.0227619
         556     10.4496     9.67299    0.022764
         557      10.245     9.67402   0.0227463
         558      9.9987      9.6746   0.0227129
         559     9.77463     9.67478    0.022673
         560     9.58166     9.67461   0.0226331
         561      9.4234     9.67417   0.0225972
         562     9.35775      9.6736    0.022564
         563     9.36777     9.67306   0.0225305
         564       9.431     9.67263   0.0224946
         565     9.48273     9.67229   0.0224573
         566     9.48234     9.67196   0.0224201
         567     9.43095     9.67153   0.0223846
         568     9.34488     9.67096   0.0223526
         569     9.24832     9.67022   0.0223257
         570      9.1691     9.66934   0.0223038
         571     9.13498      9.6684   0.0222844
         572     9.15425      9.6675   0.0222635
         573     9.23724     9.66675   0.0222373
         574      9.3527      9.6662   0.0222053
         575     9.48543     9.66589   0.0221689
         576     9.61032     9.66579   0.0221306
         577     9.72984      9.6659   0.0220926
         578     9.87851     9.66627   0.0220574
         579     10.0166     9.66688   0.0220276
         580     10.0647     9.66756   0.0220003
         581     9.93842     9.66803   0.0219674
         582     9.70121     9.66809   0.0219297
         583     9.51191     9.66782   0.0218937
         584     9.43007     9.66741     0.02186
         585     9.44422     9.66703    0.021826
         586     9.51531     9.66677   0.0217903
         587     9.60791     9.66667   0.0217534
         588     9.70857     9.66674   0.0217165
         589     9.76929     9.66692   0.0216803
         590     9.78311     9.66711   0.0216445
         591     9.75704     9.66726   0.0216084
         592     9.74774      9.6674   0.0215723
         593      9.7929     9.66761    0.021537
         594     9.88415     9.66798   0.0215038
         595     9.99886     9.66853   0.0214749
         596     10.0892     9.66924   0.0214504
         597     10.1539     9.67005   0.0214298
         598     10.1818     9.67091   0.0214111
         599     10.1555     9.67171   0.0213906
         600     10.0659     9.67237   0.0213651
         601     9.92163     9.67279   0.0213335
         602     9.75814     9.67293   0.0212986
         603     9.62095     9.67284   0.0212634
         604     9.52393      9.6726   0.0212297
         605     9.48383     9.67228   0.0211969
         606     9.48999     9.67198    0.021164
         607     9.53245     9.67175   0.0211304
         608     9.58739     9.67161   0.0210961
         609      9.6388     9.67156   0.0210615
         610     9.66636     9.67155    0.021027
