#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         622    -6.66088    -6.65123   0.0042818
         623    -6.62352    -6.65119  0.00427516
         624     -6.6131    -6.65113  0.00426874
         625    -6.62123    -6.65108  0.00426218
         626    -6.64723    -6.65107  0.00425538
         627    -6.67177     -6.6511  0.00424872
         628    -6.69115    -6.65117  0.00424243
         629    -6.70468    -6.65125  0.00423654
         630    -6.70498    -6.65134  0.00423067
         631    -6.69155     -6.6514  0.00422445
         632    -6.66247    -6.65142   0.0042178
         633    -6.62335    -6.65138  0.00421137
         634    -6.58633    -6.65127  0.00420598
         635    -6.56474    -6.65114  0.00420156
         636    -6.56312      -6.651  0.00419723
         637    -6.58059    -6.65089   0.0041921
         638    -6.60475    -6.65082  0.00418615
         639    -6.63193    -6.65079  0.00417971
         640    -6.64996    -6.65078  0.00417318
         641    -6.65289    -6.65079  0.00416667
         642    -6.64783    -6.65078  0.00416018
         643    -6.63371    -6.65076  0.00415379
         644    -6.61978    -6.65071  0.00414762
         645    -6.61978    -6.65066  0.00414147
         646     -6.6371    -6.65064  0.00413511
         647    -6.66786    -6.65067  0.00412881
         648    -6.69397    -6.65073  0.00412297
         649    -6.71083    -6.65083  0.00411766
         650    -6.70943    -6.65092  0.00411231
         651    -6.69374    -6.65098  0.00410652
         652    -6.67275    -6.65101  0.00410036
         653    -6.65304    -6.65102  0.00409408
         654    -6.63655      -6.651  0.00408788
         655    -6.61523    -6.65094  0.00408201
         656    -6.58273    -6.65084  0.00407711
         657     -6.5447    -6.65068   0.0040741
         658    -6.51281    -6.65047  0.00407329
         659    -6.51052    -6.65025  0.00407264
         660    -6.54483    -6.65009   0.0040696
         661    -6.60542    -6.65003  0.00406401
